,title,release_year,runtime_min,genre,rating,gross_usd_mil
350,Guardians of the Galaxy Vol. 3,2023,150,"Action, Adventure, Comedy, Action, Adventure, Comedy, Action, Adventure, Comedy",8.2,0.0
1177,John Wick: Chapter 4,2023,169,"Action, Crime, Thriller, Action, Crime, Thriller, Action, Crime, Thriller",7.9,0.0
16,Spider-Man: Across the Spider-Verse,2023,140,"Animation, Action, Adventure, Animation, Action, Adventure, Animation, Action, Adventure",8.9,0.0
1509,Everything Everywhere All at Once,2022,139,"Action, Adventure, Comedy, Action, Adventure, Comedy, Action, Adventure, Comedy",7.8,72.86
1506,The Batman,2022,176,"Action, Crime, Drama, Action, Crime, Drama, Action, Crime, Drama",7.8,369.35
453,Drishyam 2,2022,140,"Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery",8.2,0.0
89,Sita Ramam,2022,163,"Action, Drama, Mystery, Action, Drama, Mystery, Action, Drama, Mystery",8.6,0.0
1913,Aftersun,2022,102,Drama,7.7,0.0
1910,The Whale,2022,117,Drama,7.7,0.0
1540,All Quiet on the Western Front,2022,148,"Drama, War, Action, Drama, War, Drama, War, Action, Drama, War, Drama, War, Action, Drama, War, Drama, War, Action, Drama, War, Drama, War, Action, Drama, War",7.8,0.0
1551,RRR,2022,187,"Action, Drama, Action, Drama",7.8,14.5
1911,The Banshees of Inisherin,2022,114,"Comedy, Drama, Comedy, Drama",7.7,0.0
1619,Thirteen Lives,2022,147,"Action, Adventure, Biography, Action, Adventure, Biography, Action, Adventure, Biography",7.8,0.0
41,Rocketry: The Nambi Effect,2022,157,"Biography, Drama, Biography, Drama",8.8,0.0
332,Vikram,2022,175,"Action, Crime, Thriller, Action, Crime, Thriller, Action, Crime, Thriller",8.3,0.0
326,K.G.F: Chapter 2,2022,168,"Action, Crime, Drama, Action, Crime, Drama, Action, Crime, Drama",8.3,6.6
315,Kantara,2022,148,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",8.3,0.0
230,Top Gun: Maverick,2022,130,"Action, Drama, Action, Drama",8.3,718.73
1185,Puss in Boots: The Last Wish,2022,102,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",7.9,168.46
2326,Avatar: The Way of Water,2022,192,"Action, Adventure, Fantasy, Action, Adventure, Fantasy, Action, Adventure, Fantasy",7.6,659.68
38,777 Charlie,2022,164,"Adventure, Comedy, Drama, Adventure, Comedy, Drama, Adventure, Comedy, Drama",8.8,0.0
1614,The Worst Person in the World,2021,128,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",7.8,0.0
35,Jai Bhim,2021,164,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",8.8,0.0
355,Spider-Man: No Way Home,2021,148,"Action, Adventure, Fantasy, Action, Adventure, Fantasy, Action, Adventure, Fantasy",8.2,804.75
859,Dune: Part One,2021,155,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",8.0,108.33
222,Sardar Udham,2021,164,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",8.4,0.0
227,Drishyam 2,2021,152,"Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery, Crime, Drama, Thriller, Crime, Drama, Mystery",8.4,0.0
338,Shershaah,2021,135,"Action, Biography, Drama, Action, Biography, Drama, Action, Biography, Drama",8.3,0.0
903,CODA,2021,111,"Comedy, Drama, Music, Comedy, Drama, Music, Comedy, Drama, Music",8.0,0.0
862,Zack Snyder's Justice League,2021,242,"Action, Adventure, Fantasy, Action, Adventure, Fantasy, Action, Adventure, Fantasy",8.0,0.0
2424,The Mitchells vs the Machines,2021,114,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",7.6,0.0
2041,Another Round,2020,117,Drama,7.7,0.0
920,Soul,2020,100,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",8.0,0.0
1059,Wolfwalkers,2020,103,"Animation, Action, Adventure, Animation, Action, Adventure, Animation, Action, Adventure",8.0,0.0
407,The Father,2020,97,"Drama, Mystery, Drama, Mystery",8.2,0.0
434,Demon Slayer the Movie: Mugen Train,2020,117,"Animation, Action, Adventure, Animation, Action, Adventure, Animation, Action, Adventure",8.2,47.7
1121,"Quo Vadis, Aida?",2020,101,"Drama, History, War, Drama, History, War, Drama, History, War",8.0,0.0
55,Soorarai Pottru,2020,153,"Action, Drama, Action, Drama",8.7,0.0
268,Hamilton,2020,160,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",8.3,0.0
2084,The Trial of the Chicago 7,2020,129,"Drama, History, Thriller, Drama, History, Thriller, Drama, History, Thriller",7.7,0.0
103,Parasite,2019,132,"Drama, Thriller, Drama, Thriller",8.5,53.37
341,Chhichhore,2019,143,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",8.3,0.9
2007,Toy Story 4,2019,100,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",7.7,434.04
2475,Dark Waters,2019,126,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",7.6,0.0
154,Avengers: Endgame,2019,181,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",8.4,858.37
456,Klaus,2019,96,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",8.2,0.0
1197,Knives Out,2019,130,"Comedy, Crime, Drama, Comedy, Crime, Drama, Comedy, Crime, Drama",7.9,165.36
1570,Little Women,2019,135,"Drama, Romance, Drama, Romance",7.8,108.1
636,Portrait of a Lady on Fire,2019,122,Drama,8.1,3.76
1234,Jojo Rabbit,2019,108,"Comedy, Drama, War, Comedy, Drama, War, Comedy, Drama, War",7.9,33.37
1565,The Irishman,2019,209,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",7.8,7.0
2105,Sound of Metal,2019,120,"Drama, Music, Drama, Music",7.7,0.0
377,1917,2019,119,"Action, Drama, War, Action, Drama, War, Action, Drama, War",8.2,159.23
465,Miracle in Cell No. 7,2019,132,Drama,8.2,0.0
1450,Gully Boy,2019,154,"Drama, Music, Romance, Drama, Music, Romance, Drama, Music, Romance",7.9,5.57
2332,Once Upon a Time in Hollywood,2019,161,"Comedy, Drama, Comedy, Drama",7.6,142.5
1268,Marriage Story,2019,137,"Drama, Romance, Drama, Romance",7.9,2.0
159,Joker,2019,122,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",8.4,335.45
219,Kaithi,2019,145,"Action, Adventure, Crime, Action, Adventure, Crime, Action, Adventure, Crime",8.4,0.0
1369,Togo,2019,113,"Adventure, Biography, Drama, Adventure, Biography, Drama, Adventure, Biography, Drama",7.9,0.0
1525,The Gentlemen,2019,113,"Action, Comedy, Crime, Action, Comedy, Crime, Action, Comedy, Crime",7.8,36.47
